ans_id,ans_voteup,ans_thanks,ans_collection,ans_comment,que_id,que_activities,author_id,author_collected,author_follower,author_following,author_thanked,author_voteup,author_activities
140326825,10,4,2,2,54379931,16,fd3fe6d56db45a9194af9609c7fa767c,124,480,88,51,158,0
120718833,10,6,3,9,50384514,10,9b5a00092f2a198292e8cc3a4faae542,1673,1719,157,682,2885,93
107832048,10,5,8,0,46940666,17,0ee4c1bf3d1a216453d946645bbd2c17,155,34,66,52,125,4
68311818,9,0,0,1,22045575,11,a17477f08a8f7e39d57351823d2833cb,503,608,435,1066,2382,0
87014853,9,4,22,6,39526965,12,3d5b1bbaaf15f4fa0dff1cfe1ecd8b9a,2046,1011,81,119,938,31
150023015,10,2,4,5,56691747,36,97e5bfef81d36d98d6c80141407ed7db,5051,3509,9,209,3054,2
140425246,9,1,0,9,54630582,26,fe913ce4d6e19b02f6a767267452d955,4205,2930,790,3225,14226,1249
139156276,9,1,0,0,54381459,13,d078f9cf666b248f2b0e1b618abb43f7,26,148,123,81,381,243
132481704,9,1,0,4,52878619,11,d0f1eeab75474628202a41b497e006dd,37629,15260,661,13829,54398,27
100974273,8,2,13,0,26342064,12,c2c831e6b173ec75613da03b864ee86f,15,10,99,2,8,9
142640054,8,1,0,7,55019113,17,4a7773721e11e151bd1f084bd179edbb,234,146,210,235,1687,42
142298151,9,2,2,5,54853112,32,eb41f9f2ed3f55bee84f3b91d5c01466,48,24,239,110,458,51
140034451,13,2,4,2,54425022,17,d6cef4b741d2cddebe31231a1cf16414,3972,5114,485,2922,15242,91
134395728,8,1,0,0,53306075,12,681dc665121a599a4dca5a2e34b3ef7a,2128,775,128,916,4545,106
151568157,8,0,8,2,51288456,10,dad99a66bc657f91056b641a6fd7086b,399,118,509,33,95,139
115914843,11,1,0,14,49272693,15,514711ac20c4ac2e60b72dbbe70bbe53,12993,30294,250,6274,35749,3
20943708,7,1,0,2,22045575,11,a978191da621a581c152b9e811c8aa13,83,139,376,67,224,3
34415338,9,3,0,8,26851944,50,2729f2136346edf749b38cdf49d360ec,164,418,51,222,1061,2
26350166,7,0,2,0,23954186,12,de79c38b6b45815611aa007a511f7cfe,50,33,6,81,985,48
26209769,7,7,1,1,23909308,12,38e8cdbf66ac604e70eb8abce1957af4,220,121,118,221,822,5
128010732,7,3,7,5,51817797,11,26d0f807249e19acfc712527b3c136ba,156,115,35,28,93,1
101167500,7,3,2,0,46397320,33,be600dcd5c455d94d68669466d50068a,1099,1218,42,305,3220,27
87047108,8,5,7,29,39375325,30,f0692620a77a34c4f70b2c490d6f60dd,231,569,128,148,563,17
85011252,7,2,10,2,26342064,12,9b0238e196cb0f565109662925529e0e,576,591,78,139,483,24
75815328,6,0,5,1,20210846,10,74d76a0a27a62c0c28321454734bc36a,5,17,75,1,20,0
166622109,6,0,1,1,59475884,10,3d5b1bbaaf15f4fa0dff1cfe1ecd8b9a,2046,1011,81,119,938,31
164923767,6,1,1,2,54862155,14,30b3a88ff1e9bacc822a668fb63eb7a4,26,29,20,3,66,29
141842123,6,0,0,2,54854263,23,120bb7c934af4aaf332132a7dc5f264e,44855,19231,47,20562,114265,106
141415047,6,2,1,1,54854254,11,0760d2fa81fa51c7e3da3571f0b3e900,14,52,0,3,17,2
140559820,10,1,1,0,54680317,26,c3a3af40959008c10ca1d129d2d685cc,738,125,4,1080,10136,8
141758685,6,1,0,2,52712742,16,30de035f7cf011243c48bd51e9b16c68,45,44,4,34,120,27
108850893,6,2,0,2,48034036,23,742d2052d999ce79d342931b9f69d4a9,15715,2505,364,4671,23519,279
94515959,7200,1299,1086,670,40611946,407,50ce77091510f59531e7bd6e1078d31a,15047,6127,64,7657,44128,88
84061846,2825,730,3076,85,34681168,25,dd194e4e29e3cac134a09ba870278dd1,40628,22301,0,9347,21128,0
85198013,2081,776,4811,239,37256015,58,f7d64c448e9a80e17fab5f1d62e97d0d,6650,875,205,802,2102,17
18080841,2052,703,2359,105,20398418,21,4d29efdd93412a11cdafee99dba4fd9b,5151,1701,287,1376,4563,16
25866763,1853,672,642,139,20987169,53,023168605414b37bb83aa96a5bc05205,38130,69520,105,7386,24191,15
38517501,1770,379,724,108,27886949,800,3c5989b50637a893861c478e1155b46c,971,126,243,419,2026,0
24118727,1551,500,820,111,23283138,21,2c261f1c1ea50cdec6c8488f21c5327f,34374,25346,252,10184,69890,158
18795396,1350,599,2299,82,19593313,48,b09ea18d0114f41330c2734814b3f0c0,144786,352536,86,56828,245405,10
65083289,1294,671,865,172,35834960,567,5d2733a01d2020de17177168bcddd6db,13617,19310,187,5428,33240,13
33708408,1291,306,111,273,26698833,46,a0ce2edd0e16a5d76ccf9cb2a6068efe,5106,18000,616,6903,49472,84
46472229,1155,152,235,88,27886949,800,92cf1bf19489f9a6b799274478635fe3,748,314,77,609,3552,0
64686627,1093,1091,921,434,35834960,567,bcc80deb11cdfe9193a673236d55f194,19595,23566,160,6600,22605,74
114921216,927,186,61,334,49191827,246,ffbe1e25d78aa1aa39b6baf6a6a5c781,289287,319275,846,69025,239171,48
25809500,873,317,679,88,23830904,38,5af0d8f8ed49c88e670408d628352486,1715,841,206,510,1546,37
131175578,861,216,227,80,51520704,11,5d2733a01d2020de17177168bcddd6db,13617,19310,187,5428,33240,13
105907718,838,144,22,198,47211190,103,5bfab9655bfc48b16693cca19e671962,134,13,40,190,1078,21
95230106,826,153,33,0,40611946,407,fbab1d4d058a6d3e62261d9caf393d4d,896,1518,0,1530,11628,0
135017057,811,160,262,70,53428954,39,c91ce6171cfe1acd4f0d3b03e2291421,1003,1024,42,728,4020,0
66989594,759,302,1884,41,36324957,32,b3305a154ebfb8843177fe5d530d0a8b,7578,1763,102,1445,4217,5
75348073,677,212,268,61,37999614,14,718954aef6c483cc2e862ff81f17d32b,30365,22296,134,9480,23621,32
134538192,679,200,1483,24,25866010,23,0810194be3a5f2ba22860d382f435b73,5952,1463,74,565,1697,46
22559608,652,270,418,172,19842630,47,78e26cf69d6b6cdc52e33ec005aaeb29,864,411,142,353,823,5
27734285,626,53,93,100,21788175,49,d6453ff1759c67a3442753b058478aee,3326,11067,110,1344,7067,0
79583353,597,122,249,42,39032661,59,c4f0f697e58ef2ee3e6dc3d56bdce25f,3906,2459,15,1081,4065,19
65576406,591,62,91,35,29619212,110,1be7d254c4f586c8e30dd60ef3a5af6b,143,57,86,79,642,3
33845190,576,173,109,169,26687319,65,8b0527ef9c679afacdddd8b75d68da29,3468,3835,190,3321,15860,4
20548296,538,221,600,269,21486890,71,0f8735a3659a315c31b6212b3dec1e3c,7021,1443,309,1785,5229,5
63055080,538,217,328,97,24703465,385,718954aef6c483cc2e862ff81f17d32b,30365,22296,134,9480,23621,32
111459571,538,125,107,77,48556187,40,ebe0e8d442fbe9d699e33f79a76ad702,202,650,17,154,678,3
53363190,531,73,74,64,31733984,16,9bdea085674165456b58a1baf93fd4a1,20617,15655,47,21533,115163,53
14452284,494,120,417,27,19726630,19,f5cb85b181cf109d2d9c1680de8f3243,331210,559231,594,66989,175732,0
73428260,482,115,388,20,30371867,23,114897290e5f44988a51d24f9484dc86,20949,9744,324,3103,7471,18
37651256,474,123,117,63,27603470,20,790eb084fb5e98503ff87e359bb4ab07,182,137,2,123,474,2
